Date,rtu_power,out_temp_F,office_zone_temps_avg_F,rtu_cooling_pid,rtu_supply_air_static_pressure_inchwc,rtu_supply_air_temp_F,trane_vavs_air_flow_cfm,jci_vavs_air_flow_cfm
6/13/2022 0:42,,,,,,,0,326
6/13/2022 0:42,,59.1,,,,,,
6/13/2022 0:42,,,73.8,,,,,
6/13/2022 0:42,,,,0,0.0317,71.3,,
6/13/2022 0:42,361,,,,,,,
6/13/2022 0:43,,,,,,,0,327
6/13/2022 0:43,,59.1,,,,,,
6/13/2022 0:43,,,73.8,,,,,
6/13/2022 0:43,,,,0,0.0319,71.2,,
6/13/2022 0:43,363,,,,,,,
6/13/2022 0:44,,,,,,,0,323
6/13/2022 0:44,,59.1,,,,,,
6/13/2022 0:44,,,73.8,,,,,
6/13/2022 0:44,,,,0,0.0317,71.2,,
6/13/2022 0:44,362,,,,,,,
6/13/2022 0:45,,,,,,,0,326
6/13/2022 0:45,,59.1,,,,,,
6/13/2022 0:45,,,73.7,,,,,
6/13/2022 0:45,,,,0,0.0317,71.2,,
6/13/2022 0:45,362,,,,,,,
6/13/2022 0:46,,,,,,,0,328
6/13/2022 0:46,,59.1,,,,,,
6/13/2022 0:46,,,73.7,,,,,
6/13/2022 0:46,,,,0,0.0317,71.2,,
6/13/2022 0:46,362,,,,,,,
6/13/2022 0:47,,,,,,,0,275
6/13/2022 0:47,,59,,,,,,
6/13/2022 0:47,,,73.7,,,,,
6/13/2022 0:47,,,,0,0.0319,71.2,,
6/13/2022 0:47,364,,,,,,,
6/13/2022 0:48,,,,,,,0,328
6/13/2022 0:48,,59,,,,,,
6/13/2022 0:48,,,73.7,,,,,
6/13/2022 0:48,,,,0,0.0319,71.2,,
6/13/2022 0:48,361,,,,,,,
6/13/2022 0:49,,,,,,,0,326
6/13/2022 0:49,,59,,,,,,
6/13/2022 0:49,,,73.7,,,,,
6/13/2022 0:49,,,,0,0.0318,71.1,,
6/13/2022 0:49,363,,,,,,,
6/13/2022 0:50,,,,,,,0,328
6/13/2022 0:50,,59,,,,,,
6/13/2022 0:50,,,73.7,,,,,
6/13/2022 0:50,,,,0,0.0317,71.1,,
6/13/2022 0:50,362,,,,,,,
6/13/2022 0:51,,,,,,,0,327
6/13/2022 0:51,,58.9,,,,,,
6/13/2022 0:51,,,73.7,,,,,
6/13/2022 0:51,,,,0,0.0317,71.1,,
6/13/2022 0:51,366,,,,,,,
6/13/2022 0:52,,,,,,,0,326
6/13/2022 0:52,,58.9,,,,,,
6/13/2022 0:52,,,73.7,,,,,
6/13/2022 0:52,,,,0,0.0317,71.1,,
6/13/2022 0:52,363,,,,,,,
6/13/2022 0:53,,,,,,,0,328
6/13/2022 0:53,,58.9,,,,,,
6/13/2022 0:53,,,73.7,,,,,
6/13/2022 0:53,,,,0,0.0318,71,,
6/13/2022 0:53,364,,,,,,,
6/13/2022 0:54,,,,,,,0,335
6/13/2022 0:54,,58.9,,,,,,
6/13/2022 0:54,,,73.7,,,,,
6/13/2022 0:54,,,,0,0.0316,71,,
6/13/2022 0:54,364,,,,,,,
6/13/2022 0:55,,,,,,,0,328
6/13/2022 0:55,,58.9,,,,,,
6/13/2022 0:55,,,73.7,,,,,
6/13/2022 0:55,,,,0,0.0319,71,,
6/13/2022 0:55,363,,,,,,,
6/13/2022 0:56,,,,,,,0,273
6/13/2022 0:56,,58.9,,,,,,
6/13/2022 0:56,,,73.7,,,,,
6/13/2022 0:56,,,,0,0.0317,70.9,,
6/13/2022 0:56,366,,,,,,,
6/13/2022 0:57,,,,,,,0,328
6/13/2022 0:57,,58.8,,,,,,
6/13/2022 0:57,,,73.7,,,,,
6/13/2022 0:57,,,,0,0.0317,70.9,,
6/13/2022 0:57,363,,,,,,,
6/13/2022 0:58,,,,,,,0,325
6/13/2022 0:58,,58.8,,,,,,
6/13/2022 0:58,,,73.7,,,,,
6/13/2022 0:58,,,,0,0.0319,70.9,,
6/13/2022 0:58,365,,,,,,,
6/13/2022 0:59,,,,,,,0,328
6/13/2022 0:59,,58.8,,,,,,
6/13/2022 0:59,,,73.7,,,,,
6/13/2022 0:59,,,,0,0.0317,70.9,,
6/13/2022 0:59,365,,,,,,,
6/13/2022 1:00,,,,,,,0,327
6/13/2022 1:00,,58.8,,,,,,
6/13/2022 1:00,,,73.7,,,,,
6/13/2022 1:00,,,,0,0.0316,71,,
6/13/2022 1:00,363,,,,,,,
6/13/2022 1:01,,,,,,,0,328
6/13/2022 1:01,,58.8,,,,,,
6/13/2022 1:01,,,73.7,,,,,
6/13/2022 1:01,,,,0,0.0318,71,,
6/13/2022 1:01,366,,,,,,,
6/13/2022 1:02,,,,,,,0,326
6/13/2022 1:02,,58.8,,,,,,
6/13/2022 1:02,,,73.7,,,,,
6/13/2022 1:02,,,,0,0.0319,70.9,,
6/13/2022 1:02,364,,,,,,,
6/13/2022 1:03,,,,,,,0,325
6/13/2022 1:03,,58.7,,,,,,
6/13/2022 1:03,,,73.7,,,,,
6/13/2022 1:03,,,,0,0.0316,70.9,,
6/13/2022 1:03,363,,,,,,,
6/13/2022 1:04,,,,,,,0,325
6/13/2022 1:04,,58.7,,,,,,
6/13/2022 1:04,,,73.7,,,,,
6/13/2022 1:04,,,,0,0.0319,70.9,,
6/13/2022 1:04,362,,,,,,,
6/13/2022 1:05,,,,,,,0,326
6/13/2022 1:05,,58.7,,,,,,
6/13/2022 1:05,,,73.7,,,,,
6/13/2022 1:05,,,,0,0.0317,70.8,,
6/13/2022 1:05,364,,,,,,,
6/13/2022 1:06,,,,,,,0,281
6/13/2022 1:06,,58.6,,,,,,
6/13/2022 1:06,,,73.7,,,,,
6/13/2022 1:06,,,,0,0.0319,70.8,,
6/13/2022 1:06,365,,,,,,,
6/13/2022 1:07,,,,,,,0,327
6/13/2022 1:07,,58.6,,,,,,
6/13/2022 1:07,,,73.7,,,,,
6/13/2022 1:07,,,,0,0.0317,70.8,,
6/13/2022 1:07,359,,,,,,,
6/13/2022 1:08,,,,,,,0,328
6/13/2022 1:08,,58.6,,,,,,
6/13/2022 1:08,,,73.7,,,,,
6/13/2022 1:08,,,,0,0.0317,70.9,,
6/13/2022 1:08,360,,,,,,,
6/13/2022 1:09,,,,,,,0,326
6/13/2022 1:09,,58.6,,,,,,
6/13/2022 1:09,,,73.6,,,,,
6/13/2022 1:09,,,,0,0.0317,70.8,,
6/13/2022 1:09,361,,,,,,,
6/13/2022 1:10,,,,,,,0,325
6/13/2022 1:10,,58.6,,,,,,
6/13/2022 1:10,,,73.6,,,,,
6/13/2022 1:10,,,,0,0.0317,70.7,,
6/13/2022 1:10,361,,,,,,,
6/13/2022 1:11,,,,,,,0,326
6/13/2022 1:11,,58.6,,,,,,
6/13/2022 1:11,,,73.6,,,,,
6/13/2022 1:11,,,,0,0.0318,70.7,,
6/13/2022 1:11,359,,,,,,,
6/13/2022 1:12,,,,,,,0,328
6/13/2022 1:12,,58.6,,,,,,
6/13/2022 1:12,,,73.6,,,,,
6/13/2022 1:12,,,,0,0.0317,70.7,,
6/13/2022 1:12,359,,,,,,,
6/13/2022 1:13,,,,,,,0,326
6/13/2022 1:13,,58.6,,,,,,
6/13/2022 1:13,,,73.6,,,,,
6/13/2022 1:13,,,,0,0.0317,70.7,,
6/13/2022 1:13,359,,,,,,,
6/13/2022 1:14,,,,,,,0,337
6/13/2022 1:14,,58.6,,,,,,
6/13/2022 1:14,,,73.6,,,,,
6/13/2022 1:14,,,,0,0.0318,70.6,,
6/13/2022 1:14,359,,,,,,,
6/13/2022 1:15,,,,,,,0,326
6/13/2022 1:15,,58.5,,,,,,
6/13/2022 1:15,,,73.6,,,,,
6/13/2022 1:15,,,,0,0.0317,70.6,,
6/13/2022 1:15,358,,,,,,,
6/13/2022 1:16,,,,,,,0,326
6/13/2022 1:16,,58.5,,,,,,
6/13/2022 1:16,,,73.6,,,,,
6/13/2022 1:16,,,,0,0.0317,70.6,,
6/13/2022 1:16,358,,,,,,,
6/13/2022 1:17,,,,,,,0,328
6/13/2022 1:17,,58.5,,,,,,
6/13/2022 1:17,,,73.6,,,,,
6/13/2022 1:17,,,,0,0.0319,70.6,,
6/13/2022 1:17,358,,,,,,,
6/13/2022 1:18,,,,,,,0,275
6/13/2022 1:18,,58.4,,,,,,
6/13/2022 1:18,,,73.6,,,,,
6/13/2022 1:18,,,,0,0.0317,70.6,,
6/13/2022 1:18,360,,,,,,,
6/13/2022 1:19,,,,,,,0,274
6/13/2022 1:19,,58.4,,,,,,
6/13/2022 1:19,,,73.6,,,,,
6/13/2022 1:19,,,,0,0.0318,70.5,,
6/13/2022 1:19,360,,,,,,,
6/13/2022 1:20,,,,,,,0,326
6/13/2022 1:20,,58.4,,,,,,
6/13/2022 1:20,,,73.6,,,,,
6/13/2022 1:20,,,,0,0.0317,70.5,,
6/13/2022 1:20,358,,,,,,,
6/13/2022 1:21,,,,,,,0,328
6/13/2022 1:21,,58.3,,,,,,
6/13/2022 1:21,,,73.6,,,,,
6/13/2022 1:21,,,,0,0.0317,70.5,,
6/13/2022 1:21,360,,,,,,,
6/13/2022 1:22,,,,,,,0,326
6/13/2022 1:22,,58.3,,,,,,
6/13/2022 1:22,,,73.6,,,,,
6/13/2022 1:22,,,,0,0.0319,70.4,,
6/13/2022 1:22,360,,,,,,,
6/13/2022 1:23,,,,,,,0,326
6/13/2022 1:23,,58.2,,,,,,
6/13/2022 1:23,,,73.6,,,,,
6/13/2022 1:23,,,,0,0.0317,70.4,,
6/13/2022 1:23,356,,,,,,,
6/13/2022 1:24,,,,,,,0,325
6/13/2022 1:24,,58.2,,,,,,
6/13/2022 1:24,,,73.6,,,,,
6/13/2022 1:24,,,,0,0.0317,70.3,,
6/13/2022 1:24,357,,,,,,,
6/13/2022 1:25,,,,,,,0,273
6/13/2022 1:25,,58.2,,,,,,
6/13/2022 1:25,,,73.6,,,,,
6/13/2022 1:25,,,,0,0.0319,70.4,,
6/13/2022 1:25,357,,,,,,,
6/13/2022 1:26,,,,,,,0,326
6/13/2022 1:26,,58.2,,,,,,
6/13/2022 1:26,,,73.6,,,,,
6/13/2022 1:26,,,,0,0.0317,70.4,,
6/13/2022 1:26,355,,,,,,,
6/13/2022 1:27,,,,,,,0,325
6/13/2022 1:27,,58.2,,,,,,
6/13/2022 1:27,,,73.6,,,,,
6/13/2022 1:27,,,,0,0.0319,70.4,,
6/13/2022 1:27,357,,,,,,,
6/13/2022 1:28,,,,,,,0,325
6/13/2022 1:28,,58.1,,,,,,
6/13/2022 1:28,,,73.6,,,,,
6/13/2022 1:28,,,,0,0.0319,70.4,,
6/13/2022 1:28,357,,,,,,,
6/13/2022 1:29,,,,,,,0,333
6/13/2022 1:29,,58.1,,,,,,
6/13/2022 1:29,,,73.6,,,,,
6/13/2022 1:29,,,,0,0.0319,70.3,,
6/13/2022 1:29,355,,,,,,,
6/13/2022 1:30,,,,,,,0,325
6/13/2022 1:30,,58.1,,,,,,
6/13/2022 1:30,,,73.6,,,,,
6/13/2022 1:30,,,,0,0.0317,70.3,,
6/13/2022 1:30,358,,,,,,,
6/13/2022 1:31,,,,,,,0,325
6/13/2022 1:31,,58.1,,,,,,
6/13/2022 1:31,,,73.6,,,,,
6/13/2022 1:31,,,,0,0.0319,70.3,,
6/13/2022 1:31,355,,,,,,,
6/13/2022 1:32,,,,,,,0,326
6/13/2022 1:32,,58.1,,,,,,
6/13/2022 1:32,,,73.6,,,,,
6/13/2022 1:32,,,,0,0.0319,70.3,,
6/13/2022 1:32,358,,,,,,,
6/13/2022 1:33,,,,,,,0,326
6/13/2022 1:33,,58.1,,,,,,
6/13/2022 1:33,,,73.6,,,,,
6/13/2022 1:33,,,,0,0.0319,70.2,,
6/13/2022 1:33,359,,,,,,,
6/13/2022 1:34,,,,,,,0,281
6/13/2022 1:34,,58,,,,,,
6/13/2022 1:34,,,73.6,,,,,
6/13/2022 1:34,,,,0,0.0319,70.2,,
6/13/2022 1:34,359,,,,,,,
6/13/2022 1:35,,,,,,,0,333
6/13/2022 1:35,,58,,,,,,
6/13/2022 1:35,,,73.5,,,,,
6/13/2022 1:35,,,,0,0.0319,70.2,,
6/13/2022 1:35,358,,,,,,,
6/13/2022 1:36,,,,,,,0,327
6/13/2022 1:36,,58,,,,,,
6/13/2022 1:36,,,73.5,,,,,
6/13/2022 1:36,,,,0,0.0317,70.1,,
6/13/2022 1:36,359,,,,,,,
6/13/2022 1:37,,,,,,,0,328
6/13/2022 1:37,,58,,,,,,
6/13/2022 1:37,,,73.5,,,,,
6/13/2022 1:37,,,,0,0.0319,70,,
6/13/2022 1:37,359,,,,,,,
6/13/2022 1:38,,,,,,,0,329
6/13/2022 1:38,,58,,,,,,
6/13/2022 1:38,,,73.5,,,,,
6/13/2022 1:38,,,,0,0.0317,70,,
6/13/2022 1:38,360,,,,,,,
6/13/2022 1:39,,,,,,,0,326
6/13/2022 1:39,,58,,,,,,
6/13/2022 1:39,,,73.5,,,,,
6/13/2022 1:39,,,,0,0.0317,70,,
6/13/2022 1:39,361,,,,,,,
6/13/2022 1:40,,,,,,,0,329
6/13/2022 1:40,,58,,,,,,
6/13/2022 1:40,,,73.5,,,,,
6/13/2022 1:40,,,,0,0.0317,69.9,,
6/13/2022 1:40,358,,,,,,,
6/13/2022 1:41,,,,,,,0,336
6/13/2022 1:41,,58,,,,,,
6/13/2022 1:41,,,73.5,,,,,
6/13/2022 1:41,,,,0,0.0317,69.9,,
6/13/2022 1:41,359,,,,,,,
6/13/2022 1:42,,,,,,,0,337
6/13/2022 1:42,,58,,,,,,
6/13/2022 1:42,,,73.5,,,,,
6/13/2022 1:42,,,,0,0.0319,69.9,,
6/13/2022 1:42,359,,,,,,,
6/13/2022 1:43,,,,,,,0,327
6/13/2022 1:43,,58,,,,,,
6/13/2022 1:43,,,73.5,,,,,
6/13/2022 1:43,,,,0,0.0317,69.8,,
6/13/2022 1:43,361,,,,,,,
6/13/2022 1:44,,,,,,,0,333
6/13/2022 1:44,,57.9,,,,,,
6/13/2022 1:44,,,73.5,,,,,
6/13/2022 1:44,,,,0,0.0318,69.8,,
6/13/2022 1:44,361,,,,,,,
6/13/2022 1:45,,,,,,,0,336
6/13/2022 1:45,,57.9,,,,,,
6/13/2022 1:45,,,73.5,,,,,
6/13/2022 1:45,,,,0,0.0319,69.7,,
6/13/2022 1:45,360,,,,,,,
6/13/2022 1:46,,,,,,,0,333
6/13/2022 1:46,,57.9,,,,,,
6/13/2022 1:46,,,73.5,,,,,
6/13/2022 1:46,,,,0,0.0319,69.8,,
6/13/2022 1:46,359,,,,,,,
